Timestamp,age,gender,sleepAvg,sleepPos,vividity,,wakePos,earlyBirdNightOwl,caffeine,screenTime,comments,scariness,happiness,bizarreness,romance
12/27/2020 0:43:02,15,Female,7,9,0,,12,Night owl,No,7,My dreams can be bizarre.,,,,
12/27/2020 0:57:54,15,Female,7,12,0,,1,Early bird,No,5,"No thank you, I am good Maria. I hope you know who I am 😝 ",,,,
12/27/2020 1:51:18,15,Female,9,9,0,,1,Night owl,No,8,,,,,
12/31/2020 6:12:37,19,Male,7,2,9,,5,Night owl,No,5,,3,7,6,4
12/31/2020 10:03:33,18,Male,"depends, on average it's 6-8",3,8,,14,Night owl,No,More than half the day XD,"it's random, unpredictable and crazy XD",2,5,5,3
12/31/2020 10:18:03,14,Male,7,3,7,,20,Night owl,No,5,,5,5,4,1
12/31/2020 10:27:51,15,Female,Depends on the night so between 2-10 hours but it seems to be mostly 8 houre,3,5,,3,Night owl,Yes,Between 2-10 hours,,4,4,10,2
12/31/2020 11:15:24,14,Prefer not to say,6,1,1,,1,Night owl,Yes,3,,7,6,10,3
12/31/2020 11:35:21,13,Female,6,7,5,,21,Night owl,No,5,,4,2,3,6
12/31/2020 12:16:47,15,Female,7,21,9,,2,Both!,Yes,8,,2,10,10,10
12/31/2020 12:43:57,15,Male,6,8,7,,9,Night owl,No,6,,8,9,7,1
12/31/2020 15:00:25,18,Male,7,2,5,,17,Night owl,No,5,the biggest contributing factor to having too little sleep are my parents,3,5,6,2
12/31/2020 15:05:33,14,Female,6,9,8,,5,Night owl,Yes,8,,10,1,7,1
12/31/2020 15:37:45,15,Female,7,11,8,,15,It depends a lot,Yes,9,It's horrible and really inconsistent,4,6,7,3
12/31/2020 15:43:04,13,Female,8,17,4,,1,Early bird,No,5,,7,2,4,3
12/31/2020 16:03:15,14,Female,8,21,8,,6,Early bird,No,4,N/A,6,5,10,8
12/31/2020 17:12:50,15,Male,6,24,8,,2,Early bird,Yes,7,,6,4,3,4
12/31/2020 19:01:07,13,Prefer not to say,5,19,10,,4,Night owl,Yes,5,,6,1,10,10
12/31/2020 19:40:41,15,Female,8,6,3,,1,Night owl,No,8,When I wake up I usually go back to sleep if it’s not a school day,2,5,8,5
12/31/2020 20:34:47,16,Male,10,19,8,,15,Night owl,Yes,8,,7,6,4,7
12/31/2020 20:46:22,16,Female,7,2,8,,20,Night owl,Yes,3,,4,7,10,1
12/31/2020 21:27:09,14,Female,7,7,3,,17,Night owl,No,7,,1,4,10,2
12/31/2020 22:15:06,14,Female,8,19,8,,21,Early bird,No,5,,2,8,6,5
12/31/2020 22:52:41,13,Female,8,3,5,,1,Night owl,No,9,,3,4,3,2
1/1/2021 0:11:54,13,Female,7,18,7,,21,Night owl,No,9,,1,5,8,6
1/1/2021 0:30:44,16,Female,10,21,6,,1,Early bird,No,8,,4,6,10,1
1/1/2021 3:41:02,15,Female,8,3,4,,15,Early bird,No,4,,2,6,7,1
1/1/2021 3:55:58,15,Female,6,3,4,,2,Night owl,No,10+,,3,6,8,4
1/1/2021 4:30:27,16,Female,7,19,1,,18,Night owl,No,8,"hardly ever dream, maybe once every month at most",1,1,1,1
1/1/2021 11:04:03,15,Female,9,8,10,,3,I prefer the afternoon - I’m terrible at waking before about 8:00 am and I need a lot of sleep so I go to bed quite early as well (around 9:30 pm to 10:00 pm most nights).,No,3,"I have a dream that I can remember clearly when I wake up every night. My dreams are very realistic, often I am doing mundane things or talking to people I know. I feel as though I have full agency over the things I do and say and I often think things during the dream. There is often object permanence to a degree - for example if I am in a house and I walk out of a room and back into it, it will be the same. In addition, if I pick something up or brush against a fabric, I can register what it feels like in a way that corresponds with reality (the weight or texture of objects around me is realistic). I also sometimes read text or look at my phone inside a dream, and am able to interpret is just like I am awake. Sorry if anything doesn’t make complete sense but I hope my response to the survey helps you out. :) Interested to see the results, dreams are weird haha :)",2,7,2,7
1/1/2021 18:20:43,15,Female,9,21,7,,22,Night owl,No,5,,3,5,8,7
1/1/2021 19:43:54,16,Male,5,19,9,,15,Night owl,No,12,I barely ever dream. I occasionally have lucid dreams. As a kid I had consistent night terrors.,2,2,8,6
1/1/2021 20:03:06,16,Male,8,9,9,,9,Night owl,No,8,,3,8,8,3
1/1/2021 20:09:15,15,Male,9,20,8,,5,im just normal ig,No,6,I barely have dreams,6,8,3,6
1/1/2021 20:10:14,17,Female,8,2,4,,2,Night owl,No,9,,5,3,5,6
1/1/2021 20:43:28,14,Prefer not to say,6,12,9,,19,Night owl,No,6,,4,5,10,1
1/1/2021 20:50:43,17,Female,7,14,9,,21,Night owl,No,7,,2,8,10,6
1/1/2021 21:05:23,16,Female,9,3,6,,3,Night owl,No,9,,7,5,9,2
1/1/2021 21:16:44,16,Male,6,14,4,,20,Night owl,No,6,,2,7,6,5
1/1/2021 21:34:30,17,Female,7,3,8,,21,Night owl,No,8,,2,8,3,4
1/1/2021 21:40:23,14,Female,9,2,8,,3,Early bird,No,4,,4,6,8,2
1/1/2021 23:50:36,15,Male,5,24,1,,24,Night owl,No,7,,1,1,1,1
1/2/2021 0:06:49,15,Male,7,20,8,,2,Early bird,No,6,,6,6,8,2
1/2/2021 1:48:21,15,Female,7,2,3,,5,Night owl,Yes,7,,2,8,7,7
1/2/2021 2:23:42,14,Female,9,3,7,,3,Night owl,No,8,,8,3,10,2
1/2/2021 5:27:23,14,Male,8,15,9,,1,Early bird,Yes,8,"I rarely have bad dreams because I can semi-lucid dream and pretty much “decide” that the dream won’t be scary. I can choose what my dreams are about sometimes, but I wouldn’t fully call it “lucid dreaming”. I do get sleep paralysis a lot and that is truly terrifying. I get a good amount of sleep but I never really feel well rested, and I always wake up with a headache.",8,10,4,8
1/2/2021 13:41:13,16,Female,9,19,6,,19,Early bird,No,5,,2,6,4,1
1/2/2021 19:42:04,13,Male,8,19,7,,3,Early bird,No,8,my dreams very very very very strange...,7,10,10,1
1/2/2021 19:53:06,13,Female,6-8,3,7,,1,Early bird,Yes,7,"нет, спасибо",1,6,7,1
1/2/2021 19:57:29,13,Male,7,24,8,,20,Night owl,No,9,Yes.,3,8,5,5
1/2/2021 19:57:41,13,Female,7,2,10,,20,Night owl,No,4,my dreams are super weird. I can't even imagine thinking of something like that while I'm awake,7,8,10,6
1/2/2021 19:58:38,13,Female,4,14,10,,7,Early bird,No,3,"Yes, but this survey was also very interesting.",1,3,9,9
1/2/2021 19:58:58,14,Female,7,4,10,,19,Night owl,No,8,"Supposing that it is strange, but in unusual and uncomfortable pose and situation, i spill out much more better. For example listening to rap and laying on the floor helped me to do my best in next day.",3,10,8,5
1/2/2021 20:12:47,13,Male,Idk from 5-8 hours,3,2,,1,idk it depends on when i fall asleep :/,Yes,3,,1,5,3,1
1/2/2021 22:44:57,14,Male,7,19,3,,12,Night owl,No,4,"no one can wake me up, unless I want it",2,6,6,7
1/3/2021 0:58:47,14,Female,7,22,6,,14,Early bird,No,5,,3,6,8,1
1/3/2021 2:03:15,13,Female,4,3,4,,19,Night owl,Yes,About 12 hours,,10,2,3,1
1/3/2021 5:05:25,15,Male,6,15,3,,13,I dunno what this means.,No,All day when I'm not sleeping.,"Gore is a common element in my dreams, but I'm desenatized to gore so it doesn't bother me. I have many dreams involving rape, which do bother me. Most of the time I'm just a witness, sometimes I'm being raped, and rarely, I'm the rapist. It's very common. ",2,5,4,1
1/3/2021 7:19:04,16,Female,7,21,3,,19,Night owl,No,9,,2,6,5,1
1/3/2021 7:39:57,16,Female,7,1,9,,22,Night owl,No,6,,8,7,7,4
1/3/2021 12:19:21,15,Female,7,14,8,,17,depends,Yes,too much that i don't even know,,2,5,7,1
1/3/2021 13:35:28,14,Female,7,3,6,,2,Night owl,Yes,6,"I can’t fall asleep immediately,cause I have too many thoughts.I just can’t stop thinking about them,so it took me about 30 min to fall asleep.",3,8,5,4
1/3/2021 16:39:59,14,Female,7,3,6,,2,Night owl,Yes,6,"I can’t fall asleep immediately,cause I have too many thoughts.I just can’t stop thinking about them,so it took me about 30 min to fall asleep.",3,8,5,4
1/3/2021 18:37:39,15,Male,7,17,8,,17,Night owl,No,9,,3,7,7,7
1/3/2021 21:00:58,15,Male,7,19,6,,2,Night owl,No,4,,3,4,9,5
1/3/2021 21:22:37,15,Male,7,19,5,,22,Early bird,No,5,,1,5,7,1
1/3/2021 23:24:13,18,Female,7,17,8,,17,Early bird,No,12,,3,5,6,8
1/5/2021 13:43:58,17,Male,9,2,5,,3,Night owl,No,5,"Nightmares went away when I started practicing lucid dreaming, I dont do it as rigorously anymore and my dreams usually are not lucid but learning did allow me to take more control of my dreams and overall made them better.",3,7,9,5
1/5/2021 16:04:05,16,Female,7,3,7,,3,Night owl,No,8,,5,6,3,3
1/7/2021 22:39:41,14,Female,8,18,2,,20,Night owl,No,14 because of school,,1,7,5,7
1/12/2021 13:30:43,17,Male,~7.5,2,10,,12,Night owl,No,5,"I used to have really bad insomnia, but I overcame it. I'm not sure how that will reflect in the data but I'm interested to see!",10,3,7,5
1/12/2021 15:09:50,17,Female,6,2,3,,19,Not entirely sure ,No,6,"The answer to what position I wake up to is actually the opposite of choice 3 but I couldn’t find that as an option so I chose 19. I don’t get dreams a lot so my answers to those questions are beaded off the one/few time(s) I had a happy dream, nightmare, etc. I don’t know if this is useful but I have tried many different sleeping positions including trying to sleep on my side but I can never go to sleep until I’m on my stomach and arms are under my pillow giving support to my head. It could be because of my pillow but I’m not sure. ",7,6,7,7
1/12/2021 16:53:49,16,Female,8,1,7,,2,Night owl,No,6,I often wake up with no circulation in one of my limbs,2,5,9,1
1/12/2021 22:16:45,15,Male,9,2,7,,24,Early bird,No,5,"Yes,I think that it's very interesting ",3,10,8,3
1/13/2021 0:15:01,16,Female,10,17,10,,21,Night owl,No,6,,6,6,8,9
1/13/2021 3:02:03,16,Female,7,24,10,,7,both ,No,6,I love creating my own dreams (lucid dreaming).... it happens almost every night!,3,10,5,10
1/13/2021 5:25:08,15,Female,6,19,10,,12,Night owl,No,4,Takes forever to fall asleep ,4,6,2,6
1/13/2021 6:03:21,15,Female,7,3,6,,1,Night owl,No,8,,7,5,6,7
1/14/2021 1:06:13,15,Female,7,19,8,,12,Night owl,No,7,,2,9,2,8
1/14/2021 7:06:34,14,Female,7,17,8,,5,I get up early but I stay up late.,No,9,"I tend to flail around a lot during my sleep, seen by the change in positions during sleep. I have kicked/thrown/knocked many things like pillows and blankets while I sleep.",6,5,10,1
1/15/2021 16:33:16,18,Female,7,2,7,,1,Night owl,Yes,3,,4,5,6,5